Symbol,Company Name,Industry,Market Cap
SUP,Superior Industries International,Auto Components,117.21M
SUPN,Supernus Pharmaceuticals,Pharmaceuticals,1.55B
SUPV,Grupo Supervielle,Banks,362.47M
SURF,Surface Oncology,Biotechnology,220.53M
SURG,SurgePays,Wireless Telecommunication Services,24.33M
SUZ,Suzano,Paper & Forest Products,14.57B
SV,Spring Valley Acquisition,Blank Check / SPAC,288.36M
SVC,Service Properties Trust,Equity Real Estate Investment Trusts...,1.45B
SVFA,SVF Investment,Shell Companies,757.71M
SVFB,SVF Investment 2,Blank Check / SPAC,292.15M
SVFC,SVF Investment 3,Shell Companies,410.40M
SVFD,Save Foods,Agricultural Inputs,11.25M
SVM,Silvercorp Metals,Metals & Mining,663.81M
SVRA,Savara,Biotechnology,141.20M
SVT,Servotronics,Electrical Equipment,31.59M
SVVC,Firsthand Technology Value Fund,Securities and Commodity Exchanges,27.64M
SWAG,"Software Acquisition Group, Inc. III",Blank Check / SPAC,246.50M
SWAV,ShockWave Medical,Health Care Equipment & Supplies,6.30B
SWBI,Smith & Wesson Brands,Leisure Products,859.65M
SWCH,Switch,IT Services,6.92B
SWET,Athlon Acquisition,Blank Check / SPAC,336.72M
SWI,SolarWinds,Software,2.26B
SWIM,Latham Group,Building Products & Equipment,3.00B
SWIR,Sierra Wireless,Communications Equipment,663.47M
SWK,Stanley Black & Decker,Machinery,30.75B
SWKH,SWK Holdings,Diversified Financial Services,251.45M
SWKS,Skyworks Solutions,Semiconductors & Semiconductor Equipment,25.66B
SWM,Schweitzer-Mauduit International,Paper & Forest Products,940.60M
SWN,Southwestern Energy Company,"Oil, Gas & Consumable Fuels",4.73B
SWSS,Springwater Special Situations,Blank Check / SPAC,193.05M
SWTX,Springworks Therapeutics,Biotechnology,3.05B
SWX,Southwest Gas Holdings,Gas Utilities,4.23B
SXC,SunCoke Energy,Metals & Mining,547.51M
SXI,Standex International,Machinery,1.35B
SXT,Sensient Technologies,Chemicals,4.21B
SXTC,China SXT Pharmaceuticals,Personal Products,10.10M
SY,So-Young International,Interactive Media & Services,334.49M
SYBT,Stock Yards Bancorp,Banks,1.70B
SYBX,Synlogic,Biotechnology,168.70M
SYF,Synchrony Financial,Consumer Finance,25.39B
SYK,Stryker,Health Care Equipment & Supplies,100.88B
SYN,Synthetic Biologics,Biotechnology,35.94M
SYNA,Synaptics,Semiconductors & Semiconductor Equipment,11.37B
SYNH,Syneos Health,Life Sciences Tools & Services,10.65B
SYNL,Synalloy,Metals & Mining,166.99M
SYPR,Sypris Solutions,Auto Components,53.75M
SYRS,Syros Pharmaceuticals,Biotechnology,201.95M
SYTA,Siyata Mobile,Communications Equipment,19.80M
SYY,Sysco,Food & Staples Retailing,40.27B
T,"AT&T, Inc.",Diversified Telecommunication Services,175.67B
TA,TravelCenters of America,Specialty Retail,781.34M
TAC,TransAlta,Independent Power and Renewable Elect...,3.01B
TACA,Trepont Acquisition I,Blank Check / SPAC,286.92M
TACO,Del Taco Restaurants,"Hotels, Restaurants & Leisure",453.09M
TACT,TransAct Technologies,"Technology Hardware, Storage & Periph...",107.21M
TAIT,Taitron Components,"Electronic Equipment, Instruments & C...",23.64M
TAK,Takeda Pharmaceutical Company,Pharmaceuticals,42.66B
TAL,TAL Education Group,Diversified Consumer Services,2.53B
TALK,Talkspace,Medical Care Facilities,308.91M
TALO,Talos Energy,"Oil, Gas & Consumable Fuels",802.44M
TALS,Talaris Therapeutics,Biotechnology,649.90M
TANH,Tantech Holdings,Chemicals,29.42M
TAOP,Taoping,IT Services,29.22M
TAP,Molson Coors Beverage Company,Beverages,10.09B
TARA,Protara Therapeutics,Biotechnology,75.84M
TARO,Taro Pharmaceutical Industries,Pharmaceuticals,1.88B
TARS,Tarsus Pharmaceuticals,Biotechnology,465.23M
TASK,TaskUs,Information Technology Services,5.25B
TAST,Carrols Restaurant Group,"Hotels, Restaurants & Leisure",151.77M
TATT,TAT Technologies,Aerospace & Defense,57.00M
TAYD,Taylor Devices,Machinery,38.20M
TBBK,The Bancorp,Banks,1.44B
TBCP,Thunder Bridge Capital Partners III,Blank Check / SPAC,515.40M
TBI,TrueBlue,Professional Services,981.75M
TBK,Triumph Bancorp,Banks,2.99B
TBLA,Taboola.com,Internet Content & Information,1.80B
TBLD,Thornburg Income Builder Opportunities Trust,n/a,0
TBLT,Toughbuilt Industries,"Textiles, Apparel & Luxury Goods",47.19M
TBNK,Territorial Bancorp,Thrifts & Mortgage Finance,235.43M
TBPH,Theravance Biopharma,Pharmaceuticals,814.37M
TBSA,TB SA Acquisition,Blank Check / SPAC,244.37M
TC,TuanChe,Internet Content & Information,57.21M
TCAC,Tuatara Capital Acquisition,Blank Check / SPAC,246.75M
TCBC,TC Bancshares,Banks-Regional,65.59M
TCBI,Texas Capital Bancshares,Banks,3.05B
TCBK,TriCo Bancshares,Banks,1.28B
TCBS,Texas Community Bancshares,Banks-Regional,46.44M
TCBX,Third Coast Bancshares,Banks-Regional,346.85M
TCDA,Tricida,Pharmaceuticals,526.89M
TCFC,The Community Financial Corporation,Banks,225.06M
TCI,Transcontinental Realty Investors,Real Estate Management & Development,337.80M
TCMD,Tactile Systems Technology,Health Care Equipment & Supplies,377.23M
TCN,Tricon Residential,Real Estate Services,0
TCOM,Trip.com Group,Internet & Direct Marketing Retail,15.69B
TCON,TRACON Pharmaceuticals,Biotechnology,53.87M
TCPC,Blackrock TCP Capital,Capital Markets,780.44M
TCRR,TCR2 Therapeutics,Biotechnology,178.11M
TCRX,TScan Therapeutics,Biotechnology,106.96M
TCS,The Container Store Group,Specialty Retail,505.45M
TCVA,TCV Acquisition,Blank Check / SPAC,503.85M
TCX,Tucows,IT Services,896.84M
TD,The Toronto-Dominion Bank,Banks,139.71B
TDC,Teradata,Software,4.61B
TDCX,"TDCX, Inc.",Specialty Business Services,2.74B
TDG,TransDigm Group,Aerospace & Defense,35.15B
TDOC,Teladoc Health,Health Care Technology,14.70B
TDS,Telephone & Data Systems,Wireless Telecommunication Services,2.31B
TDUP,ThredUp,Internet Retail,1.24B
TDW,Tidewater,Energy Equipment & Services,442.10M
TDY,Teledyne Technologies,Aerospace & Defense,20.38B
TEAM,Atlassian,Software,96.37B
TECH,Bio-Techne,Life Sciences Tools & Services,20.33B
TECK,Teck Resources,Metals & Mining,15.25B
TEDU,Tarena International,Diversified Consumer Services,20.82M
TEF,Telefonica,Diversified Telecommunication Services,24.87B
TEKK,Tekkorp Digital Acquisition,Blank Check / SPAC,310.31M
TEL,TE Connectivity,"Electronic Equipment, Instruments & C...",52.65B
TELA,TELA Bio,Health Care Equipment & Supplies,185.65M
TELL,Tellurian,"Oil, Gas & Consumable Fuels",1.48B
TEN,Tenneco,Auto Components,927.88M
TENB,Tenable Holdings,Software,5.92B
TENX,Tenax Therapeutics,Biotechnology,26.22M
TEO,Telecom Argentina,Diversified Telecommunication Services,2.20B
TER,Teradyne,Semiconductors & Semiconductor Equipment,26.66B
TERN,Terns Pharmaceuticals,Biotechnology,178.64M
TESS,TESSCO Technologies,Communications Equipment,56.58M
TETC,Tech & Energy Transition,Blank Check / SPAC,467.78M
TEVA,Teva Pharmaceutical Industries,Pharmaceuticals,9.66B
TEX,Terex,Machinery,3.07B
TFC,Truist Financial,Banks,78.16B
TFFP,TFF Pharmaceuticals,Pharmaceuticals,225.05M
TFII,TFI International,Road & Rail,10.43B
TFSL,TFS Financial,Thrifts & Mortgage Finance,5.02B
TFX,Teleflex,Health Care Equipment & Supplies,15.39B
TG,Tredegar,Chemicals,398.83M
TGA,TransGlobe Energy,"Oil, Gas & Consumable Fuels",218.35M
TGB,Taseko Mines,Metals & Mining,582.11M
TGH,Textainer Group Holdings,Trading Companies & Distributors,1.76B
TGI,Triumph Group,Aerospace & Defense,1.20B
TGLS,Tecnoglass,Construction Materials,1.25B
TGNA,Tegna,Media,4.11B
TGP,Teekay LNG Partners,"Oil, Gas & Consumable Fuels",1.47B
TGS,Transportadora de Gas del Sur,"Oil, Gas & Consumable Fuels",668.45M
TGT,Target,Multiline Retail,110.89B
TGTX,TG Therapeutics,Biotechnology,2.72B
TGVC,TG Venture Acquisition,Blank Check / SPAC,141.85M
TH,Target Hospitality,"Hotels, Restaurants & Leisure",362.54M
THAC,Thrive Acquisition,Blank Check / SPAC,185.25M
THC,Tenet Healthcare,Health Care Providers & Services,8.75B
THCA,Tuscan Holdings II,Shell Companies,174.87M
THCP,Thunder Bridge Capital Partners IV,Blank Check / SPAC,280.60M
THFF,First Financial,Banks,582.97M
THG,The Hanover Insurance Group,Insurance,4.66B
THM,International Tower Hill Mines,Metals & Mining,143.20M
THMO,ThermoGenesis Holdings,Health Care Equipment & Supplies,12.03M
THO,Thor Industries,Automobiles,5.77B
THR,Thermon Group Holdings,Electrical Equipment,564.48M
THRM,Gentherm,Auto Components,2.89B
THRN,Thorne HealthTech,Packaged Foods,326.31M
THRX,Theseus Pharmaceuticals,Biotechnology,490.75M
THRY,Thryv Holdings,Media,1.40B
THS,TreeHouse Foods,Food Products,2.26B
THTX,Theratechnologies,Biotechnology,288.22M
TIG,Trean Insurance Group,Biotechnology,455.97M
TIGO,Millicom International Cellular,Wireless Telecommunication Services,2.85B
TIGR,UP Fintech Holding,Capital Markets,797.26M
TIL,Instil Bio,Biotechnology,2.21B
TILE,Interface,Commercial Services & Supplies,941.93M
TIMB,TIM S.A.,Telecom Services,5.63B
TINV,Tiga Acquisition,Blank Check / SPAC,349.57M
TIOA,Tio Tech A,Blank Check / SPAC,417.45M
TIPT,Tiptree,Insurance,468.84M
TIRX,Tian Ruixiang Holdings,Insurance Brokers,21.50M
TISI,"Team, Inc.",Commercial Services & Supplies,33.77M
TITN,Titan Machinery,Trading Companies & Distributors,761.09M
TIVC,Tivic Health Systems,Medical Devices,37.70M
TIXT,TELUS International,Software-Infrastructure,8.72B
TJX,The TJX Companies,Specialty Retail,90.56B
TK,Teekay,"Oil, Gas & Consumable Fuels",318.94M
TKAT,Takung Art Co.,Interactive Media & Services,56.53M
TKC,Turkcell Iletisim Hizmetleri A.S.,Wireless Telecommunication Services,3.19B
TKNO,Alpha Teknova,Drug Manufacturers-Specialty & Generic,573.68M
TKR,The Timken Company,Machinery,5.26B
TLGA,TLG Acquisition One,Blank Check / SPAC,486.50M
TLIS,Talis Biomedical,Medical Devices,105.42M
TLK,Telkom Indonesia,Diversified Telecommunication Services,28.72B
TLMD,SOC Telemed,Medical Care Facilities,129.14M
TLRY,Tilray,Pharmaceuticals,3.34B
TLS,Telos,Software,1.03B
TLSA,Tiziana Life Sciences,Biotechnology,93.41M
TLYS,Tilly's,Specialty Retail,498.86M
TM,Toyota Motor,Automobiles,256.76B
TMAC,The Music Acquisition,Blank Check / SPAC,280.60M
TMBR,Timber Pharmaceuticals,Biotechnology,24.24M
TMC,TMC the metals company,Other Industrial Metals & Mining,468.54M
TMCI,Treace Medical Concepts,Medical Devices,991.14M
TMDI,Titan Medical,Health Care Equipment & Supplies,71.34M
TMDX,TransMedics Group,Health Care Equipment & Supplies,532.04M
TME,Tencent Music Entertainment Group,Entertainment,11.59B
TMHC,Taylor Morrison Home,Household Durables,4.30B
TMKR,Tastemaker Acquisition,Blank Check / SPAC,341.21M
TMO,Thermo Fisher Scientific,Life Sciences Tools & Services,262.92B
TMP,Tompkins Financial,Banks,1.23B
TMPM,Turmeric Acquisition,Blank Check / SPAC,124.07M
TMQ,Trilogy Metals,Metals & Mining,240.18M
TMST,TimkenSteel,Metals & Mining,762.44M
TMUS,T-Mobile US,Wireless Telecommunication Services,144.86B
TMX,Terminix Global Holdings,Personal Services,5.48B
TNC,Tennant Company,Machinery,1.50B
TNDM,Tandem Diabetes Care,Health Care Equipment & Supplies,9.56B
TNET,TriNet Group,Professional Services,6.26B
TNGX,Tango Therapeutics,Biotechnology,957.76M
TNK,Teekay Tankers,"Oil, Gas & Consumable Fuels",368.29M
TNL,Travel + Leisure Co.,"Hotels, Restaurants & Leisure",4.77B
TNP,Tsakos Energy Navigation,"Oil, Gas & Consumable Fuels",166.50M
TNXP,Tonix Pharmaceuticals Holding,Biotechnology,177.51M
TNYA,Tenaya Therapeutics,Biotechnology,782.28M
TOI,The Oncology Institute,Medical Care Facilities,280.31M
TOL,Toll Brothers,Household Durables,8.71B
TOMZ,TOMI Environmental Solutions,Commercial Services & Supplies,32.47M
TOPS,Top Ships,"Oil, Gas & Consumable Fuels",33.26M
TOST,Toast,Software-Infrastructure,17.52B
TOUR,Tuniu,"Hotels, Restaurants & Leisure",119.81M
TOWN,TowneBank,Banks,2.30B
TPB,Turning Point Brands,Tobacco,713.03M
TPBA,TPB Acquisition I,Blank Check / SPAC,220.50M
TPC,Tutor Perini,Construction & Engineering,631.77M
TPGY,TPG Pace Beneficial Finance,Shell Companies,429.19M
TPH,TRI Pointe Homes,Household Durables,3.10B
TPHS,Trinity Place Holdings,Real Estate Management & Development,66.64M
TPIC,TPI Composites,Electrical Equipment,554.58M
TPL,Texas Pacific Land,"Oil, Gas & Consumable Fuels",9.67B
TPR,Tapestry,"Textiles, Apparel & Luxury Goods",11.17B
TPST,Tempest Therapeutics,Biotechnology,36.49M
TPTX,Turning Point Therapeutics,Biotechnology,2.36B
TPVG,TriplePoint Venture Growth BDC,Capital Markets,556.47M
TPX,Tempur Sealy International,Household Durables,9.05B
TR,Tootsie Roll Industries,Food Products,2.43B
TRC,Tejon Ranch Company,Real Estate Management & Development,502.94M
TRCA,Twin Ridge Capital Acquisition,Blank Check / SPAC,258.10M
TRDA,Entrada Therapeutics,Biotechnology,511.67M
TREB,Trebia Acquisition,Blank Check / SPAC,644.29M
TREC,Trecora Resources,Chemicals,197.17M
TREE,LendingTree,Thrifts & Mortgage Finance,1.63B
TREX,Trex Company,Building Products,15.54B
TRGP,Targa Resources,"Oil, Gas & Consumable Fuels",11.96B
TRHC,Tabula Rasa HealthCare,Health Care Technology,385.78M
TRI,Thomson Reuters,Professional Services,58.24B
TRIB,Trinity Biotech,Health Care Equipment & Supplies,29.89M
TRIN,Trinity Capital,Asset Management,478.84M
TRIP,TripAdvisor,Interactive Media & Services,3.77B
TRIS,Tristar Acquisition I,Blank Check / SPAC,244.00M
TRIT,Triterras,Information Technology Services,195.51M
TRKA,Troika Media Group,Software Publishers,50.54M
TRMB,Trimble,"Electronic Equipment, Instruments & C...",21.89B
TRMD,Torm PLC,Oil & Gas Midstream,642.69M
TRMK,Trustmark,Banks,2.03B
TRMR,Tremor International,Advertising Agencies,1.17B
TRN,Trinity Industries,Machinery,2.94B
TRNO,Terreno Realty,Equity Real Estate Investment Trusts...,6.38B
TRNS,Transcat,Trading Companies & Distributors,694.96M
TRON,Corner Growth Acquisition 2,Blank Check / SPAC,228.48M
TROO,TROOPS,Software-Application,568.54M
TROW,T. Rowe Price Group,Capital Markets,45.07B
TROX,Tronox Holdings,Chemicals,3.70B
TRP,TC Energy,"Oil, Gas & Consumable Fuels",45.66B
TRQ,Turquoise Hill Resources,Metals & Mining,3.31B
TRS,TriMas,Machinery,1.59B
TRST,TrustCo Bank Corp NY,Thrifts & Mortgage Finance,640.17M
TRT,Trio-Tech International,Semiconductors & Semiconductor Equipment,53.05M
TRTL,TortoiseEcofin Acquisition III,Blank Check / SPAC,363.38M
TRTN,Triton International,Trading Companies & Distributors,4.02B
TRTX,TPG RE Finance Trust,Mortgage Real Estate Investment Trus...,949.23M
TRU,TransUnion,Professional Services,22.72B
TRUE,TrueCar,Interactive Media & Services,326.14M
TRUP,Trupanion,Insurance,5.33B
TRV,The Travelers Companies,Insurance,38.48B
TRVG,Trivago,Interactive Media & Services,780.99M
TRVI,Trevi Therapeutics,Pharmaceuticals,20.22M
TRVN,Trevena,Biotechnology,95.83M
TRX,Tanzanian Gold,Metals & Mining,100.90M
TS,Tenaris,Energy Equipment & Services,12.43B
TSAT,Telesat,Communication Equipment,886.84M
TSBK,Timberland Bancorp,Thrifts & Mortgage Finance,231.43M
TSC,TriState Capital Holdings,Banks,1.00B
TSCO,Tractor Supply Company,Specialty Retail,27.16B
TSE,Trinseo,Chemicals,2.04B
TSEM,Tower Semiconductor,Semiconductors & Semiconductor Equipment,4.31B
TSHA,Taysha Gene Therapies,Biotechnology,448.22M
TSIB,Tishman Speyer Innovation II,Blank Check / SPAC,365.62M
TSLA,Tesla,Automobiles,"1,061.28B"
TSLX,Sixth Street Specialty Lending,Capital Markets,1.71B
TSM,Taiwan Semiconductor Manufacturing Company,Semiconductors & Semiconductor Equipment,623.94B
TSN,Tyson Foods,Food Products,31.65B
TSP,TuSimple Holdings,Trucking,7.64B
TSPQ,TCW Special Purpose Acquisition,Blank Check / SPAC,566.00M
TSQ,Townsquare Media,Media,223.15M
TSRI,"TSR, Inc.",IT Services,17.85M
TSVT,2seventy bio,Drug Manufacturers-General,598.95M
TT,Trane Technologies,Building Products,47.99B
TTC,The Toro Company,Machinery,10.44B
TTCF,Tattooed Chef,Packaged Foods,1.27B
TTD,The Trade Desk,Software,47.18B
TTE,TotalEnergies SE,"Oil, Gas & Consumable Fuels",131.70B
TTEC,TTEC Holdings,IT Services,4.25B
TTEK,Tetra Tech,Commercial Services & Supplies,9.15B
TTGT,TechTarget,Media,2.76B
TTI,TETRA Technologies,Energy Equipment & Services,360.51M
TTM,Tata Motors,Automobiles,24.57B
TTMI,TTM Technologies,"Electronic Equipment, Instruments & C...",1.55B
TTNP,Titan Pharmaceuticals,Pharmaceuticals,10.11M
TTOO,T2 Biosystems,Biotechnology,85.67M
TTSH,Tile Shop Holdings,Specialty Retail,370.54M
TTWO,Take-Two Interactive Software,Entertainment,20.49B
TU,TELUS,Diversified Telecommunication Services,32.08B
TUEM,Tuesday Morning,Discount Stores,195.55M
TUFN,Tufin Software Technologies,Software,398.31M
TUGC,TradeUP Global,Blank Check / SPAC,57.43M
TUP,Tupperware Brands,Household Durables,747.38M
TURN,180 Degree Capital,Capital Markets,76.25M
TUSK,Mammoth Energy Services,Energy Equipment & Services,84.97M
TUYA,"Tuya, Inc.",Software-Infrastructure,3.50B
TV,Grupo Televisa SAB,Media,5.25B
TVAC,Thayer Ventures Acquisition,Blank Check / SPAC,217.78M
TVTX,Travere Therapeutics,Biotechnology,1.90B
TVTY,Tivity Health,Health Care Providers & Services,1.32B
TW,Tradeweb Markets,Capital Markets,23.29B
TWCB,Bilander Acquisition,Blank Check / SPAC,194.60M
TWI,Titan International,Machinery,683.68M
TWIN,"Twin Disc,",Machinery,149.05M
TWKS,Thoughtworks Holding,Information Technology Services,8.18B
TWLO,Twilio,IT Services,46.96B
TWLV,Twelve Seas Investment Company II,Blank Check / SPAC,429.61M
TWND,Tailwind Acquisition,Blank Check / SPAC,411.09M
TWNI,Tailwind International Acquisition,Blank Check / SPAC,420.47M
TWNK,Hostess Brands,Food Products,2.83B
TWNT,Tailwind Two Acquisition,Blank Check / SPAC,426.51M
TWO,Two Harbors Investment,Mortgage Real Estate Investment Trus...,1.98B
TWOA,two,Blank Check / SPAC,266.85M
TWOU,"2U, Inc.",Software,1.51B
TWST,Twist Bioscience,Biotechnology,3.84B
TWTR,Twitter,Interactive Media & Services,34.56B
TX,Ternium,Metals & Mining,8.54B
TXG,10X Genomics,Life Sciences Tools & Services,16.64B
TXMD,TherapeuticsMD,Pharmaceuticals,151.06M
TXN,Texas Instruments,Semiconductors & Semiconductor Equipment,174.06B
TXRH,Texas Roadhouse,"Hotels, Restaurants & Leisure",6.22B
TXT,Textron,Aerospace & Defense,17.02B
TYG,Tortoise Energy Infrastructure,Asset Management,333.03M
TYL,Tyler Technologies,Software,22.04B
TYME,Tyme Technologies,Biotechnology,103.86M
TYRA,Tyra Biosciences,Biotechnology,580.61M
TZOO,Travelzoo,Interactive Media & Services,115.48M
TZPS,TZP Strategies Acquisition,Blank Check / SPAC,351.11M
U,Unity Software,Software,41.79B
UA,Under Armour,"Textiles, Apparel & Luxury Goods",9.29B
UAA,Under Armour,"Textiles, Apparel & Luxury Goods",9.29B
UAL,United Airlines Holdings,Airlines,14.18B
UAMY,United States Antimony,Metals & Mining,52.83M
UAN,CVR Partners LP,Chemicals,883.24M
UAVS,AgEagle Aerial Systems,Machinery,118.24M
UBA,Urstadt Biddle Properties,Equity Real Estate Investment Trusts...,835.44M
UBCP,United Bancorp,Banks,99.57M
UBER,Uber Technologies,Road & Rail,81.35B
UBFO,United Security Bancshares,Banks,138.12M
UBOH,United Bancshares,Banks,100.06M
UBP,Urstadt Biddle Properties,Equity Real Estate Investment Trusts...,835.44M
UBS,UBS Group AG,Capital Markets,61.72B
UBSI,United Bankshares,Banks,4.95B
UBX,Unity Biotechnology,Biotechnology,84.28M
UCBI,United Community Banks,Banks,3.21B
UCL,uCloudlink Group,Telecom Services,187.07M
UCTT,Ultra Clean Holdings,Semiconductors & Semiconductor Equipment,2.58B
UDMY,Udemy,Education & Training Services,2.71B
UDR,"UDR, Inc.",Equity Real Estate Investment Trusts...,18.55B
UE,Urban Edge Properties,Equity Real Estate Investment Trusts...,2.23B
UEC,Uranium Energy,"Oil, Gas & Consumable Fuels",895.30M
UEIC,Universal Electronics,Household Durables,533.89M
UEPS,Net 1 UEPS Technologies,IT Services,303.22M
UFAB,Unique Fabricating,Auto Components,23.00M
UFCS,United Fire Group,Insurance,581.63M
UFI,Unifi,"Textiles, Apparel & Luxury Goods",428.95M
UFPI,UFP Industries,Building Products,5.69B
UFPT,UFP Technologies,Containers & Packaging,529.16M
UG,United-Guardian,Personal Products,75.58M
UGI,UGI Corporation,Gas Utilities,9.61B
UGP,Ultrapar Participacoes,"Oil, Gas & Consumable Fuels",2.87B
UGRO,Urban-gro,Farm & Heavy Construction Machinery,112.76M
UHAL,Amerco,Road & Rail,14.24B
UHS,Universal Health Services,Health Care Providers & Services,10.42B
UHT,Universal Health Realty Income Trust,Equity Real Estate Investment Trusts...,819.76M
UI,Ubiquiti,Communications Equipment,19.15B
UIHC,United Insurance Holdings,Insurance,187.51M
UIS,Unisys,IT Services,1.38B
UK,Ucommune International,Real Estate Services,60.30M
UL,Unilever,Personal Products,138.04B
ULBI,Ultralife,Electrical Equipment,97.13M
ULCC,Frontier Group Holdings,Airlines,2.93B
ULH,Universal Logistics Holdings,Road & Rail,507.70M
ULTA,Ulta Beauty,Specialty Retail,22.32B
UMBF,UMB Financial,Banks,5.13B
UMC,United Microelectronics,Semiconductors & Semiconductor Equipment,29.36B
UMH,UMH Properties,Equity Real Estate Investment Trusts...,1.34B
UMPQ,Umpqua Holdings,Banks,4.17B
UNAM,Unico American,Insurance,18.25M
UNB,Union Bankshares,Banks,133.79M
UNCY,Unicycive Therapeutics,Biotechnology,30.84M
UNF,UniFirst,Commercial Services & Supplies,3.97B
UNFI,United Natural Foods,Food & Staples Retailing,2.85B
UNH,UnitedHealth Group,Health Care Providers & Services,472.94B
UNIT,Uniti Group,Equity Real Estate Investment Trusts...,3.31B
UNM,Unum Group,Insurance,5.02B
UNP,Union Pacific,Road & Rail,161.96B
UNTY,Unity Bancorp,Banks,277.71M
UNVR,Univar Solutions,Trading Companies & Distributors,4.85B
UONE,Urban One,Media,191.66M
UONEK,Urban One,Media,191.66M
UP,Wheels Up Experience,Airports & Air Services,1.14B
UPC,Universe Pharmaceuticals,Biotechnology,35.56M
UPH,UpHealth,Health Information Services,323.12M
UPLD,Upland Software,Software,547.65M
UPS,United Parcel Service,Air Freight & Logistics,186.29B
UPST,Upstart Holdings,Consumer Finance,12.40B
UPTD,TradeUP Acquisition,Blank Check / SPAC,52.47M
UPWK,Upwork,Professional Services,4.38B
URBN,Urban Outfitters,Specialty Retail,2.87B
URG,Ur-Energy,"Oil, Gas & Consumable Fuels",263.54M
URGN,UroGen Pharma,Biotechnology,213.22M
URI,United Rentals,Trading Companies & Distributors,24.06B
UROY,Uranium Royalty,Uranium,336.37M
USAC,USA Compression Partners LP,Energy Equipment & Services,1.69B
USAK,USA Truck,Road & Rail,176.68M
USAP,Universal Stainless & Alloy Products,Metals & Mining,70.89M
USAS,Americas Gold & Silver,Metals & Mining,132.55M
USAU,U.S. Gold,Metals & Mining,63.66M
USB,U.S. Bancorp,Banks,83.29B
USCB,U.S. Century Bank,Banks-Regional,262.84M
USDP,USD Partners LP,"Oil, Gas & Consumable Fuels",155.09M
USEG,U.S. Energy,"Oil, Gas & Consumable Fuels",15.29M
USER,UserTesting,Software-Application,1.19B
USFD,US Foods Holding,Food & Staples Retailing,7.76B
USIO,"Usio, Inc.",IT Services,109.55M
USLM,United States Lime & Minerals,Construction Materials,730.06M
USM,United States Cellular,Wireless Telecommunication Services,2.72B
USNA,USANA Health Sciences,Personal Products,1.97B
USPH,U.S. Physical Therapy,Health Care Providers & Services,1.23B
USWS,U.S. Well Services,Oil & Gas Equipment & Services,60.20M
USX,U.S. Xpress Enterprises,Road & Rail,296.35M
UTHR,United Therapeutics,Biotechnology,9.73B
UTI,Universal Technical Institute,Diversified Consumer Services,256.75M
UTL,Unitil,Multi-Utilities,734.60M
UTMD,Utah Medical Products,Health Care Equipment & Supplies,365.09M
UTME,UTime,Consumer Electronics,22.07M
UTRS,Minerva Surgical,Health Information Services,146.84M
UTSI,UTStarcom Holdings,Communications Equipment,31.48M
UTZ,Utz Brands,Food Products,2.18B
UUU,Universal Security Instruments,"Electronic Equipment, Instruments & C...",7.86M
UUUU,Energy Fuels,"Oil, Gas & Consumable Fuels",1.19B
UVE,Universal Insurance Holdings,Insurance,529.85M
UVSP,Univest Financial,Banks,881.11M
UVV,Universal,Tobacco,1.35B
UWMC,UWM Holdings,Mortgage Finance,9.50B
UXIN,Uxin Limited,Internet & Direct Marketing Retail,627.86M
V,"Visa, Inc.",IT Services,471.09B
VABK,Virginia National Bankshares,Banks,201.08M
VAC,Marriott Vacations Worldwide,"Hotels, Restaurants & Leisure",7.20B
VACC,Vaccitech,Biotechnology,387.51M
VAL,Valaris,Oil & Gas Equipment & Services,2.70B
VALE,Vale S.A.,Metals & Mining,67.92B
VALN,Valneva SE,Biotechnology,2.91B
VALU,Value Line,Capital Markets,446.55M
VAPO,Vapotherm,Health Care Equipment & Supplies,539.96M
VAQC,Vector Acquisition II,Blank Check / SPAC,560.31M
VATE,INNOVATE,Engineering & Construction,287.74M
VAXX,Vaxxinity,Biotechnology,703.46M
VBFC,Village Bank & Trust Financial,Banks,85.24M
VBIV,VBI Vaccines,Biotechnology,602.09M
VBLT,Vascular Biogenics,Biotechnology,136.52M
VBNK,VersaBank,Banks-Regional,326.55M
VBTX,Veritex Holdings,Banks,1.96B
VC,Visteon,Auto Components,3.11B
VCEL,Vericel,Biotechnology,1.84B
VCKA,Vickers Vantage I,Blank Check / SPAC,230.92M
VCNX,Vaccinex,Biotechnology,32.03M
VCRA,Vocera Communications,Health Care Technology,2.26B
VCSA,Vacasa,Software-Application,2.15B
VCTR,Victory Capital Holdings,Capital Markets,2.49B
VCXA,10x Capital Venture Acquisition II,Blank Check / SPAC,277.27M
VCYT,Veracyte,Biotechnology,2.93B
VEC,Vectrus,Aerospace & Defense,536.80M
VECO,Veeco Instruments,Semiconductors & Semiconductor Equipment,1.44B
VECT,VectivBio Holding AG,Biotechnology,176.08M
VEEE,"Twin Vee PowerCats, Co.",Recreational Vehicles,28.07M
VEEV,Veeva Systems,Health Care Technology,39.28B
VEL,Velocity Financial,Thrifts & Mortgage Finance,442.41M
VELO,Velocity Acquisition,Blank Check / SPAC,279.59M
VENA,Venus Acquisition,Blank Check / SPAC,60.98M
VEON,VEON Ltd.,Wireless Telecommunication Services,2.99B
VERA,Vera Therapeutics,Biotechnology,568.54M
VERB,Verb Technology Company,Software,87.38M
VERI,Veritone,Software,784.03M
VERO,Venus Concept,Medical Devices,115.20M
VERU,Veru Inc.,Personal Products,471.37M
VERV,Verve Therapeutics,Biotechnology,1.78B
