,ticker,company_name,pe_ratio,current_ratio,roce,debt_to_equity_ratio,inventory_turnover_ratio,free_cash_flow,reserves_trend,quick_ratio,return_on_equity_ratio,return_on_investment
200,TAP,molson_coors,11.68,1.95,0.05319504851120776,0.65,0.89,1344.28,627.9000000000003,1.18,0.1264,0.1298
201,MDLZ,mondelez_international,0.0,0.77,-0.017462960590922675,1.04,2.02,1279.7,145.69999999999936,0.56,-0.034,0.0003
202,MPWR,monolithic_power_systems,21.19,0.73,0.07317999658126151,1.43,1.49,3111.0,1849.0000000000005,0.53,0.1617,0.1027
203,MNST,monster_beverage,110.86,4.68,0.1497175141242938,0.29,0.66,212.19,44.50000000000001,3.76,0.2,inf
204,MCO,moody's,33.7,4.7,0.29946818265175135,0.19,1.32,1316.43,1074.2,4.2,0.26839999999999997,inf
205,MSI,motorola_solutions,8.38,1.32,0.024815237637445173,0.99,1.12,412.0,-141.30000000000004,0.67,0.1765,0.1268
206,MSCI,msci,37.58,1.38,0.18722079328550156,-47.06,1.76,1452.0,73.00000000000006,1.21,-3.1186000000000003,0.3331
207,NEM,newmont,15.49,1.25,-0.05722538135210759,2.58,0.92,1173.0,-1794.3000000000002,0.68,0.1524,0.1144
208,NWSA,news_corp (class_a),24.51,2.67,0.07384210526315789,0.72,1.37,3580.0,845.3000000000002,2.31,0.08560000000000001,0.09519999999999999
209,NWS,news_corp (class_b),26.88,1.34,0.0438058654059245,0.8,4.04,871.0,-560.3999999999999,1.24,0.053899999999999997,0.06860000000000001
210,NEE,nextera_energy,27.11,1.34,0.0438058654059245,0.8,4.04,871.0,-560.3999999999999,1.24,0.053899999999999997,0.06860000000000001
211,NLSN,nielsen_holdings,77.8,0.47,0.045627240782690905,2.12,0.79,1236.0,2598.899999999999,0.38,0.0524,0.0275
212,NI,nisource,55.74,3.07,0.24716739114943348,1.61,0.98,5962.0,-1116.3999999999999,2.33,0.4573,0.313
213,NSC,norfolk_southern,24.43,0.66,0.027883204291280807,2.46,0.44,461.8,-188.39999999999995,0.45,0.0717,0.0608
214,NTRS,northern_trust,25.58,1.13,0.0838500642422211,1.78,3.45,2476.0,394.6999999999998,1.03,0.2022,0.15960000000000002
