Unnamed: 0,ticker,company_name,pe_ratio,current_ratio,roce,debt_to_equity_ratio,inventory_turnover_ratio,free_cash_flow,reserves_trend,quick_ratio,return_on_equity_ratio,return_on_investment,price_trend
297,VRTX,vertex_pharmaceuticals,9.75,0.97,0.10403112480628277,3.5,5.87,23576.0,10832.2,0.92,0.2983,0.1495,9.401274203078664
298,VFC,vf_corporation,26.36,4.63,0.2892444804537168,0.32,0.71,2993.71,1573.3000000000006,4.45,0.2392,0.2754,11.18660017428643
299,VIAC,viacomcbs,23.54,1.47,0.05267261543792775,2.86,1.01,1114.57,-250.7,1.04,0.375,0.1525,10.072918774156253
300,VTRS,viatris,5.91,1.66,0.09329005792593596,1.65,2.6,1970.0,8665.800000000003,1.49,0.1698,0.1253,11.715074597916336
301,V,visa,0.0,1.12,-0.004138066287507354,1.65,0.73,990.9,122.39999999999996,0.72,-0.0886,-0.018500000000000003,12.759484692283474
302,WRB,w._r._berkley_corporation,42.89,1.96,0.08421844158285552,1.12,2.19,719.63,372.0,1.38,0.1041,0.1074,12.836838213280638
303,WMT,walmart,38.38,1.34,0.04891982401996192,0.8,0.77,668.6,256.6,0.74,0.0447,0.0545,12.415337366334036
304,WBA,walgreens_boots_alliance,50.59,0.95,0.1410563587340711,1.7,1.83,26025.0,-234.6000000000015,0.29,0.0917,0.1953,11.825192165012105
305,DIS,the_walt_disney_company,17.8,0.72,0.020309967585089142,2.41,2.75,5032.0,1062.6999999999966,0.35,0.1148,0.07440000000000001,10.003934456873612
306,WM,waste_management,142.1,1.08,0.017417058864442538,1.19,9.27,1988.0,-10871.800000000003,1.04,0.022,0.0212,16.221155947779625
